Name,Hake F,Mackerel F,Norway Pout F,Sprat F,Sole F,Saithe F,Plaice F,Whiting F,Haddock F,Cod F,Sandeel F,Herring F,Turbot F,Turbot B,Hake B,Mackerel B,Norway Pout B,Sprat B,Sole B,Saithe B,Plaice B,Whiting B,Haddock B,Cod B,Sandeel B,Herring B,Hake C,Mackerel C,Norway Pout C,Sprat C,Sole C,Saithe C,Plaice C,Whiting C,Haddock C,Cod C,Sandeel C,Herring C,Auk B,Fulmar B,Gull B,Gannet B,Harbour Porpoise B,Minke Whale B,White-Beaked Dolphin B,Harbour Seal B,Grey Seal B
1998,0.98,0.348,0.579,1.407999999,0.6617092,0.449,0.72432,0.397,0.729,1,0.631,0.2028,0.65,0.00651993,0.076867962,0.690986351,0.494335705,3.985753219,0.125907852,0.364675876,0.673570192,0.248288152,0.318921683,0.175157395,3.994577429,3.018451617,0.060973913,1.158810435,0.130493913,0.460807421,0.038867761,0.100933982,0.260225936,0.062297614,0.194952856,0.155860914,1.287829149,0.517002992,0.001948146,0.000632522,0.001437957,0.001004163,0.008609237,0.036395385,0.008294961,0.004899841,0.074884225
1999,0.97,0.373,0.691,0.764,0.6593642,0.478,0.6500378,0.445,0.816,1.04,0.93,0.1952,0.62,0.006293845,0.084389714,0.756194055,0.488852226,3.189051835,0.129582393,0.383561444,0.624664074,0.251415978,0.248504304,0.149060804,1.724498005,3.100387267,0.069848,1.11358087,0.160525217,0.576901763,0.043723437,0.10302897,0.227820311,0.079841987,0.148533963,0.089874782,1.443721938,0.479425265,0.002063619,0.000604998,0.001482205,0.001029079,0.009173666,0.033049243,0.006991456,0.005098518,0.072396904
2000,0.91,0.39,0.653,1.083000001,0.6448812,0.419,0.5824118,0.492,0.886,1.04,0.751,0.1965,0.64,0.006954708,0.093887123,0.74712573,1.065591417,3.78000615,0.110458515,0.366437789,0.581323718,0.317278233,0.161147798,0.11642106,1.091918486,3.215146921,0.073232348,1.284532174,0.321686957,0.522691016,0.042170068,0.085535434,0.191476128,0.083727469,0.15264825,0.074383076,1.021754364,0.512420793,0.002088243,0.00057062,0.001503005,0.001038898,0.009624738,0.028451976,0.005733625,0.005404481,0.0852216
2001,0.75,0.447,0.510999999,1.53,0.6173032,0.39,0.5716084,0.374,0.6,0.98,1.21,0.1702,0.7,0.006638189,0.093977557,0.699409705,0.485001791,1.789125192,0.095961095,0.379612922,0.605428857,0.351169707,0.109060851,0.110873408,1.236070624,4.107344473,0.063782609,1.282544348,0.111953043,0.352276122,0.037146761,0.091411389,0.27392086,0.059367428,0.208651933,0.046615443,1.814445884,0.493817408,0.002019386,0.000530584,0.001500933,0.001033197,0.009940373,0.023001201,0.004543618,0.005811184,0.08249999
2002,0.81,0.499,0.762,1.755,0.5911928,0.403,0.5939166,0.278,0.374,0.92,0.828,0.1585,0.76,0.006358192,0.099113218,0.723064612,0.329040035,2.412641122,0.093009477,0.421753449,0.661645339,0.356210577,0.935408532,0.100560023,1.191174781,4.857190551,0.069751304,1.341603478,0.13410087,0.421130896,0.031560964,0.123632698,0.190358608,0.06095259,0.186771231,0.053852201,2.0712822,0.521070337,0.001870709,0.000486455,0.001478538,0.001012676,0.010104111,0.017410485,0.0034609,0.006546523,0.091460481
2003,0.82,0.54,0.546,1.246000001,0.5742684,0.416,0.5707736,0.22,0.234,0.9,0.715,0.1866,0.72,0.005290378,0.108036713,0.821543869,0.21452698,1.248219967,0.10186354,0.40587136,0.672541825,0.334371275,0.800712902,0.102936554,1.85510201,4.990198724,0.078733572,1.181368696,0.042864348,0.42720222,0.033376954,0.106618779,0.218315227,0.059889692,0.089557265,0.029793992,0.505602202,0.636677458,0.001705637,0.000442892,0.00144275,0.000986775,0.010227513,0.013167263,0.002676091,0.004089707,0.096811454
2004,0.83,0.493,0.495,1.953,0.564195,0.365,0.476972,0.185,0.233,0.86,0.725,0.2337,0.64,0.004958208,0.111911502,0.817696168,0.128692188,2.897148288,0.093864007,0.515442853,0.676692612,0.321879102,0.549478164,0.082662735,0.718157922,4.852507419,0.085164249,1.14868,0.023455652,0.556459583,0.034935912,0.09942969,0.181443656,0.044034145,0.087226206,0.029028886,0.695518521,0.775842443,0.00156786,0.000402912,0.001395289,0.000962125,0.010441374,0.010642359,0.002205372,0.004353363,0.099863274
2005,0.95,0.377,0.001,0.993999999,0.54901,0.376,0.3868582,0.166,0.296,0.8,0.983,0.2517,0.57,0.00505212,0.104737576,0.763186105,0.113506099,2.446669307,0.072986936,0.500568939,0.648209777,0.286703974,0.405165146,0.087584128,0.893092949,4.463160991,0.089088433,0.955676522,7.3E-05,0.621455167,0.030462058,0.10941554,0.168765988,0.037900832,0.077134187,0.034382116,0.421526997,0.876324744,0.001453615,0.00036641,0.001335504,0.00093868,0.010770122,0.009223242,0.001954816,0.004757495,0.115722147
2006,0.84,0.343,0.797,1.235,0.5121976,0.391,0.3329858,0.199,0.5,0.74,1.204,0.2241,0.44,0.005499071,0.098494087,0.845338653,0.327391339,2.367233079,0.071712909,0.521616246,0.735009584,0.265149715,0.278330386,0.080557704,0.582127034,3.634468826,0.075275049,0.836836522,0.080961739,0.199917196,0.023456996,0.112141694,0.1861417,0.048248994,0.080597693,0.026392782,0.821885772,0.679339037,0.001359161,0.000333115,0.00126476,0.000916229,0.011247596,0.008583369,0.001862706,0.005045693,0.116715899
2007,0.74,0.393,0.077,1.580999999,0.4623276,0.371,0.2962204,0.192,0.422,0.69,0.435,0.1944,0.41,0.006888622,0.110243673,0.939051201,0.301926989,3.802747303,0.079572331,0.478245631,0.755896654,0.234265545,0.228278221,0.13872389,0.691382234,2.94656327,0.082120733,1.019488696,0.01008,0.227855467,0.027258467,0.096339303,0.143110498,0.035395805,0.081089701,0.044223237,0.374402259,0.53661232,0.001281158,0.000302706,0.001185709,0.000894472,0.011904995,0.008581224,0.001909938,0.005368018,0.129675838
2008,0.6,0.378,0.141999999,1.076,0.4277968,0.436,0.2546518,0.186,0.248,0.66,0.824,0.1219,0.38,0.008399909,0.139139376,1.118649963,0.422873088,2.405419644,0.08223455,0.486772067,0.918916698,0.242298413,0.482643393,0.151411995,1.013018734,3.085387093,0.088672574,1.083765217,0.060598261,0.170390791,0.026207986,0.112117584,0.149320443,0.03706626,0.057484535,0.043496555,0.800714134,0.340423977,0.001224915,0.000276079,0.00110374,0.000878865,0.012782888,0.009195333,0.002102452,0.006151974,0.160376313
2009,0.48,0.342,0.256,0.802000001,0.42297,0.439,0.2157324,0.215,0.198,0.65,1.033,0.07059,0.43,0.010354671,0.221160391,1.209038536,0.678561811,3.169986398,0.079168656,0.474978152,1.094849891,0.257436324,0.396469495,0.162778799,1.212805995,3.64592413,0.119458736,1.283424348,0.079674783,0.435769566,0.025986343,0.101651255,0.153478816,0.037306396,0.057735528,0.045284863,0.993844279,0.222368,0.001216432,0.000256239,0.001028145,0.000890166,0.013922628,0.010485204,0.00246064,0.006516604,0.169037834
2010,0.36,0.335,0.265,0.679,0.4372436,0.424,0.1964252,0.244,0.216,0.58,0.527,0.0752,0.41,0.009879893,0.36035542,1.274585868,0.972650538,4.177540018,0.096192329,0.446799018,1.278035714,0.306978407,0.367599935,0.160778749,0.952124648,3.871460475,0.142980292,1.522634783,0.227961739,0.337650844,0.023473759,0.092554892,0.165737392,0.045187586,0.054695635,0.040489592,1.026334323,0.247672404,0.00126178,0.000242558,0.000961075,0.000932935,0.015354556,0.012590828,0.003047589,0.006556573,0.186302073
2011,0.29,0.332,0.162,0.81,0.4370106,0.429,0.1981524,0.209,0.314,0.48,0.584,0.09786,0.37,0.009255552,0.465913867,1.481984879,0.358726995,3.64634388,0.121460189,0.358590484,1.306123392,0.28438154,0.263721693,0.174118455,3.607222936,4.632790552,0.176199962,1.646366957,0.01190087,0.31891999,0.021391424,0.087794887,0.167425701,0.040243143,0.0597736,0.037227037,1.088944173,0.298982207,0.001359194,0.000233306,0.000904201,0.001006162,0.017027483,0.015503793,0.003824324,0.007091365,0.211116475
2012,0.24,0.321,0.438,0.935,0.3883598,0.39,0.207383,0.208,0.188,0.45,0.108,0.1591,0.35,0.01018076,0.502647846,1.408421647,0.221422632,1.635135116,0.08818529,0.324588045,1.398041758,0.297594931,0.545234687,0.170067673,1.355187339,4.884133856,0.170264735,1.55191826,0.046864348,0.230844263,0.021609342,0.075036385,0.201210361,0.039656582,0.051990158,0.033554366,0.157504824,0.573877175,0.001466739,0.000223901,0.000860772,0.001087557,0.018559042,0.018508831,0.004312996,0.007976997,0.232984904
2013,0.24,0.353,0.818,0.369999999,0.3168306,0.348,0.2097138,0.201,0.204,0.44,0.68,0.1877,0.33,0.011935523,0.524715711,1.246732202,0.536460927,2.543964295,0.091195438,0.342582134,1.572917539,0.28446954,0.435356445,0.180084217,0.82360438,4.452417337,0.155461046,1.620403477,0.142798261,0.217646428,0.024468362,0.075967204,0.178974941,0.034869605,0.056680751,0.034841513,0.732106963,0.675139678,0.001565489,0.000213243,0.000826367,0.001170758,0.019783747,0.021368992,0.004282109,0.008215175,0.249278912
2014,0.23,0.398,0.708,0.676000001,0.2595188,0.314,0.2053652,0.23,0.336,0.44,0.406,0.1921,0.33,0.014158108,0.58928452,1.243217668,0.236382634,6.499494994,0.095526028,0.399301968,1.785757611,0.269601368,0.312156467,0.191342422,0.635044897,4.304950383,0.168673854,2.422608696,0.076806957,0.516019789,0.024324945,0.07046151,0.189431426,0.037234224,0.055721427,0.038320402,0.269230552,0.682981298,0.001651839,0.000201684,0.000796033,0.001256622,0.020600031,0.02411368,0.003726864,0.008122381,0.287282582
